Category_name,Cat_id,Keywords,Monthly_num_search,Avg_monthly_click,Competitiveness,2024-02-29,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29
출산/육아,50000005,휠라키즈,24160.0,100.4,높음,55.78011,70.57396,77.93047,87.7122,70.08892,73.48423,68.95715,66.61277,59.25626,61.19644,72.91835,69.76556,57.5586,60.06467,59.49878,54.9717,61.5198,70.57396,63.78334,65.40016,46.07922,50.76798,41.79466,48.66612,55.3759,72.19078,64.67259,58.77122,55.94179,53.83993
출산/육아,50000005,유아옷,13970.0,500.8,중간,43.70522,43.39815,44.93346,49.94882,59.46775,62.02661,61.10542,57.52302,48.92528,48.2088,47.28761,50.15353,49.94882,53.94063,49.12998,47.0829,37.56397,41.55578,47.28761,50.15353,45.44524,42.68167,40.53224,36.43807,42.78403,51.79119,48.82292,47.90174,37.66632,35.31218
출산/육아,50000005,헬로카봇실내화,890.0,0.7,높음,12.07778,9.51893,5.22006,7.67656,8.08597,6.14124,5.1177,3.99181,4.40122,2.14943,1.84237,3.88945,3.68474,1.53531,0.61412,1.74002,2.45649,1.43295,1.94472,1.63766,3.07062,0.51177,0.71647,0.81883,0.92118,1.43295,1.3306,2.04708,1.22824,1.22824
출산/육아,50000005,아기우비,8230.0,94.3,높음,27.84032,16.47901,15.55783,18.21903,18.93551,46.36642,24.05322,23.02968,18.5261,11.77072,16.58137,20.98259,38.58751,20.36847,15.14841,13.20368,10.64483,11.56601,21.90378,29.17093,20.57318,16.47901,23.43909,10.23541,18.01432,68.88433,82.49744,28.24974,100.0,45.7523
출산/육아,50000005,아워아동복,9250.0,250.3,중간,23.95087,24.25793,20.57318,75.435,78.50562,68.16786,47.0829,34.69805,30.70624,27.2262,31.0133,31.83213,29.98976,31.52507,30.70624,26.81678,21.69907,23.02968,27.12384,28.76151,24.36028,19.44728,18.83316,17.09314,18.11668,21.39201,25.38382,25.17911,24.97441,12.99897
출산/육아,50000005,키즈컴포트히트자켓,450.0,0.7,높음,3.7871,0.71647,1.84237,0.81883,2.04708,4.29887,2.86591,3.37768,1.94472,1.43295,4.29887,2.55885,2.25179,1.12589,1.3306,1.3306,0.92118,1.02354,0.71647,0.71647,1.94472,0.71647,1.53531,0.51177,0.51177,0.51177,,,,
출산/육아,50000005,아기미끄럼틀,6730.0,100.5,높음,13.8217,17.82999,15.34208,19.90324,15.41119,15.41119,14.92743,13.68348,16.3096,16.37871,19.14305,16.44782,14.651,16.10228,16.79336,14.37456,14.23635,16.37871,14.72011,15.68762,15.68762,12.71596,12.2322,11.81755,14.23635,14.23635,14.30545,14.72011,12.99239,13.0615
출산/육아,50000005,어린이수영복,6210.0,123.4,높음,10.85003,11.19557,12.78507,13.19972,11.88666,13.13061,13.54526,12.30131,13.8908,15.27297,13.54526,17.06979,15.96406,12.09398,10.71181,10.15894,12.92328,12.92328,16.10228,14.30545,13.26883,13.75259,12.71596,14.72011,14.09813,15.68762,17.41534,15.82584,14.651,12.99239
출산/육아,50000005,겉싸개,9050.0,40.8,중간,18.45196,19.90324,20.17968,23.49689,24.04975,21.00898,25.50103,23.84243,23.42778,23.77332,22.39115,21.07809,23.70421,21.28541,19.90324,18.65929,16.79336,20.59433,19.97235,21.56185,18.86662,17.00069,16.51693,15.82584,15.4803,16.93158,21.00898,17.69177,14.16724,16.10228
출산/육아,50000005,돗투돗,32310.0,143.5,중간,61.8521,64.06357,56.25431,53.35176,72.63303,67.79543,66.06772,63.64892,100.0,60.95369,60.46993,62.88873,62.6814,98.89426,71.87284,75.32826,56.87629,53.21354,65.99861,80.5114,67.72633,64.82377,74.98272,57.42916,53.42087,98.13407,75.19004,70.55977,76.91776,62.88873
